Name,Address,Latitude,Longitude,City,Price Tier,Price Segment (1-10),Marker Color,Operator Mention Count,Operators Confirmed,Hotel Stars,Description
Palm Garden Beach Resort & Spa Hoi An,"Lac Long Quan, Cua Dai Beach, Hoi An, Quang Nam, Vietnam",15.8976157,108.3640426,Hoi An,7 - Upscale,7,#FB8C00,11,"ANEX, Art Tour, BG, Coral, FUN&SUN, PACS, Pegas, PSG, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (11): ANEX, Art Tour, BG, Coral, FUN&SUN, PACS, Pegas, PSG, R-Express, Sunmar, TEZ"
Sheraton Grand Danang Resort,"Sheraton Grand Danang Resort & Spa, 35, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50510, Việt Nam",15.9814271,108.2789535,Da Nang,8 - Premium,8,#F4511E,10,"ANEX, Art Tour, Coral, FUN&SUN, PACS, Pegas, PSG, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (10): ANEX, Art Tour, Coral, FUN&SUN, PACS, Pegas, PSG, R-Express, Sunmar, TEZ"
Furama Resort Danang,"Furama Resort, 105, Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0397489,108.2513386,Da Nang,8 - Premium,8,#F4511E,9,"ANEX, Coral, FUN&SUN, PACS, Pegas, Planeta Travel, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (9): ANEX, Coral, FUN&SUN, PACS, Pegas, Planeta Travel, R-Express, Sunmar, TEZ"
Hoi An Beach Resort,"Hoi An Beach Resort, Âu Cơ, Phường Hội An Đông, Thành phố Đà Nẵng, 51313, Việt Nam",15.8964889,108.3672024,Hoi An,6 - Upper mid-range,6,#FDD835,9,"ANEX, Coral, FUN&SUN, PACS, Pegas, Planeta Travel, R-Express, Sunmar, TEZ",4,"Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (9): ANEX, Coral, FUN&SUN, PACS, Pegas, Planeta Travel, R-Express, Sunmar, TEZ"
Hyatt Regency Danang Resort & Spa,"5 Truong Sa, Hoa Hai, Ngu Hanh Son, Da Nang, Vietnam",16.0125,108.263611,Da Nang,9 - Luxury,9,#E53935,9,"ANEX, Coral, FUN&SUN, ICS, PACS, Pegas, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (9): ANEX, Coral, FUN&SUN, ICS, PACS, Pegas, R-Express, Sunmar, TEZ"
Pullman Danang Beach Resort,"Pullman Danang Beach Resort, Đà Nẵng, DA 50507, Vietnam",16.04058,108.25012,Da Nang,7 - Upscale,7,#FB8C00,9,"ANEX, Coral, FUN&SUN, Pegas, Planeta Travel, PSG, Space Travel, Sunmar, TEZ",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (9): ANEX, Coral, FUN&SUN, Pegas, Planeta Travel, PSG, Space Travel, Sunmar, TEZ"
Muong Thanh Luxury Da Nang Hotel,"270 Vo Nguyen Giap, Ngu Hanh Son, Da Nang, Vietnam",16.053936,108.24746,Da Nang,5 - Mid-range,5,#C0CA33,8,"ANEX, BG, Coral, FUN&SUN, PACS, Pegas, Sunmar, TEZ",4,"Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (8): ANEX, BG, Coral, FUN&SUN, PACS, Pegas, Sunmar, TEZ"
New World Hoiana Beach & Resort,"Tay Son Tay, Duy Hai, Duy Xuyen, Quang Nam, Vietnam",15.821574,108.404568,Hoiana,7 - Upscale,7,#FB8C00,8,"ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (8): ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ"
Radisson Hotel Danang,"Radisson, Đường Loseby, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0738839,108.2446681,Da Nang,7 - Upscale,7,#FB8C00,8,"ANEX, Art Tour, Coral, FUN&SUN, ICS, Pegas, Sunmar, TEZ",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (8): ANEX, Art Tour, Coral, FUN&SUN, ICS, Pegas, Sunmar, TEZ"
Vinpearl Resort & Golf Nam Hoi An,"Vo Chi Cong, Binh Minh, Thang Binh, Quang Nam, Vietnam",15.793379,108.412104,Hoiana / Nam Hoi An,8 - Premium,8,#F4511E,8,"ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (8): ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ"
Wyndham Hoi An Royal Beachfront Resort & Villas,"Hoiana, Duy Xuyen, Quang Nam, Vietnam",15.82,108.403,Hoiana,6 - Upper mid-range,6,#FDD835,8,"ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (8): ANEX, Coral, FUN&SUN, Pegas, PSG, R-Express, Sunmar, TEZ"
Anantara Hoi An Resort,"Anantara Hoi An Resort, Hoi An, Vietnam",15.87706,108.33699,Hoi An,9 - Luxury,9,#E53935,7,"ANEX, Coral, FUN&SUN, PACS, Pegas, Space Travel, TEZ",4,"Stars: 4. Price tier: 9 - Luxury. Price segment: 9/10. Operators (7): ANEX, Coral, FUN&SUN, PACS, Pegas, Space Travel, TEZ"
Holiday Beach Danang Hotel & Spa,"300 Vo Nguyen Giap, Ngu Hanh Son, Da Nang, Vietnam",16.0485,108.2488,Da Nang,4 - Value,4,#7CB342,7,"ANEX, BG, Coral, FUN&SUN, Pegas, Sunmar, TEZ",4,"Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (7): ANEX, BG, Coral, FUN&SUN, Pegas, Sunmar, TEZ"
TMS Hotel Da Nang Beach,"TMS Hotel Da Nang Beach, 292, Đường Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.051152,108.2480701,Da Nang,6 - Upper mid-range,6,#FDD835,7,"ANEX, Coral, FUN&SUN, Pegas, PSG, Sunmar, TEZ",4,"Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (7): ANEX, Coral, FUN&SUN, Pegas, PSG, Sunmar, TEZ"
Four Seasons Resort The Nam Hai,"Block Ha My Dong B, Dien Duong, Dien Ban, Quang Nam, Vietnam",15.872039,108.345833,Ha My / Dien Duong,9 - Luxury,9,#E53935,6,"ANEX, Art Tour, BG, ICS, R-Express, TEZ",5,"Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (6): ANEX, Art Tour, BG, ICS, R-Express, TEZ"
InterContinental Danang Sun Peninsula Resort,"InterContinental Danang Sun Peninsula Resort, Đường Hoàng Sa, Phường Sơn Trà, Thành phố Đà Nẵng, Việt Nam",16.1210876,108.3061358,Da Nang,10 - Ultra luxury,10,#B71C1C,5,"ANEX, Coral, PACS, Pegas, PSG",5,"Stars: 5. Price tier: 10 - Ultra luxury. Price segment: 10/10. Operators (5): ANEX, Coral, PACS, Pegas, PSG"
Maximilan Danang Beach Hotel,"222 Vo Nguyen Giap, Phuoc My, Son Tra, Da Nang, Vietnam",16.0455,108.2482,Da Nang,5 - Mid-range,5,#C0CA33,5,"ANEX, BG, PACS, Pegas, PSG",4,"Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (5): ANEX, BG, PACS, Pegas, PSG"
Premier Village Danang Resort Managed by Accor,"99 Vo Nguyen Giap, Ngu Hanh Son, Da Nang, Vietnam",16.0436238,108.2496571,Da Nang,9 - Luxury,9,#E53935,5,"BG, Coral, ICS, Pegas, R-Express",5,"Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (5): BG, Coral, ICS, Pegas, R-Express"
Bliss Hoi An Beach Resort & Wellness,"Bliss Hoi An Beach Resort & Wellness, Đường tỉnh 613, Xã Thăng An, Thành phố Đà Nẵng, Việt Nam",15.778785,108.4294673,Hoi An,8 - Premium,8,#F4511E,4,"ANEX, FUN&SUN, PSG, Space Travel",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (4): ANEX, FUN&SUN, PSG, Space Travel"
Danang Marriott Resort & Spa,"Danang Marriott Resort & Spa, 7, Đường Trường Sa, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0073852,108.266296,Da Nang,8 - Premium,8,#F4511E,4,"ANEX, Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (4): ANEX, Art Tour, PSG, R-Express"
DLG Hotel Danang,"DLG Hotel, 258, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0579365,108.2461526,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, FUN&SUN, ICS, R-Express",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, FUN&SUN, ICS, R-Express"
Hoiana Residences,"Tay Son Tay, Duy Hai, Hoiana, Quang Nam, Vietnam",15.821574,108.404568,Hoiana,7 - Upscale,7,#FB8C00,4,"ANEX, Pegas, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (4): ANEX, Pegas, PSG, R-Express"
Koi Resort & Residence Da Nang,"11 Truong Sa, Hoa Hai, Ngu Hanh Son, Da Nang, Vietnam",16.004841,108.268918,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, BG, PACS, PSG",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, BG, PACS, PSG"
M Hotel Danang,"M Hotel Da Nang, 286, Đường Võ Nguyên Giáp, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0517939,108.2479104,Da Nang,6 - Upper mid-range,6,#FDD835,4,"ANEX, FUN&SUN, Pegas, R-Express",5,"Stars: 5. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (4): ANEX, FUN&SUN, Pegas, R-Express"
Mandila Beach Hotel,"Mandila Beach, 216, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0674704,108.2449031,Da Nang,4 - Value,4,#7CB342,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (4): ANEX, BG, PACS, PSG"
Minh Toan Safi Ocean Hotel,"Minh Toan Safi Ocean, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0670601,108.244862,Da Nang,3 - Cheap,3,#43A047,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 3 - Cheap. Price segment: 3/10. Operators (4): ANEX, BG, PACS, PSG"
Non Nuoc Beach Villas,"Danang Marriott Resort & Spa, Non Nuoc Beach Villas, 23, Đường Trường Sa, Ngũ Hành Sơn Ward, Đà Nẵng, Vietnam",15.9938706,108.2702536,Da Nang,9 - Luxury,9,#E53935,4,"ANEX, Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 9 - Luxury. Price segment: 9/10. Operators (4): ANEX, Art Tour, PSG, R-Express"
Victoria Hoi An Beach Resort & Spa,"Au Co, Cua Dai Beach, Hoi An, Quang Nam, Vietnam",15.895326,108.369756,Hoi An,7 - Upscale,7,#FB8C00,4,"ANEX, BG, PACS, PSG",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (4): ANEX, BG, PACS, PSG"
Wyndham Garden Hoi An,"19 Lac Long Quan, Cam An, Hoi An, Quang Nam, Vietnam",15.8975,108.3525,Hoi An,5 - Mid-range,5,#C0CA33,4,"ANEX, BG, PACS, PSG",4,"Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (4): ANEX, BG, PACS, PSG"
A La Carte Danang Beach,"A La Carte Danang Beach, 200, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0687157,108.2446388,Da Nang,7 - Upscale,7,#FB8C00,3,"ANEX, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (3): ANEX, PSG, R-Express"
Angel Hotel,"Angel Hotels, Ngô Thì Sĩ, Phường Ngũ Hành Sơn, Thành phố Đà Nẵng, 50507, Việt Nam",16.0486026,108.2481857,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
Avatar Da Nang Hotel,"46-48 Hoang Ke Viem, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.052,108.248,Da Nang,2 - Very cheap,2,#2E7D32,3,"FUN&SUN, ICS, PSG",4,"Stars: 4. Price tier: 2 - Very cheap. Price segment: 2/10. Operators (3): FUN&SUN, ICS, PSG"
Blue Ocean 2 Hotel,"51 Hoang Ke Viem, Bac My An, Ngu Hanh Son, Da Nang, Vietnam",16.052,108.245,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
King's Finger Hotel,"187 Ho Nghinh, Son Tra, Da Nang, Vietnam",16.055,108.242,Da Nang,1 - Budget,1,#1B5E20,3,"FUN&SUN, ICS, PSG",3,"Stars: 3. Price tier: 1 - Budget. Price segment: 1/10. Operators (3): FUN&SUN, ICS, PSG"
Renaissance Hoi An Resort & Spa,"Block 6, Phuoc Hai, Cua Dai, Hoi An, Quang Nam, Vietnam",15.880556,108.388611,Hoi An,7 - Upscale,7,#FB8C00,3,"Art Tour, PSG, R-Express",5,"Stars: 5. Price tier: 7 - Upscale. Price segment: 7/10. Operators (3): Art Tour, PSG, R-Express"
Belle Maison Parosand Danang,"Belle Maison Parosand Hotel, 216, Đường Võ Nguyên Giáp, Phường An Hải, Thành phố Đà Nẵng, 50408, Việt Nam",16.0674697,108.2448548,Da Nang,3 - Cheap,3,#43A047,2,"Coral, Pegas",4,"Stars: 4. Price tier: 3 - Cheap. Price segment: 3/10. Operators (2): Coral, Pegas"
Fivitel Hoi An Hotel,"135 Tran Hung Dao, Hoi An, Quang Nam, Vietnam",15.879,108.335,Hoi An,4 - Value,4,#7CB342,2,"ANEX, PSG",4,"Stars: 4. Price tier: 4 - Value. Price segment: 4/10. Operators (2): ANEX, PSG"
Four Seasons Nam Hai,"Block Ha My Dong B, Dien Duong, Dien Ban, Quang Nam, Vietnam",15.872039,108.345833,Hoi An,10 - Ultra luxury,10,#B71C1C,2,"ANEX, TEZ",4,"Stars: 4. Price tier: 10 - Ultra luxury. Price segment: 10/10. Operators (2): ANEX, TEZ"
Naman Retreat,"Naman Retreat, Truong Sa, Ngu Hanh Son, Da Nang, Vietnam",15.96915,108.2847535,Hoi An,8 - Premium,8,#F4511E,2,"KOMPAS, Pegas",5,"Stars: 5. Price tier: 8 - Premium. Price segment: 8/10. Operators (2): KOMPAS, Pegas"
Serene Nature Boutique Resort & Spa,"Thanh Nien Road, Cam Ha, Hoi An, Quang Nam, Vietnam",15.865,108.32,Hoi An,6 - Upper mid-range,6,#FDD835,2,"ANEX, R-Express",4,"Stars: 4. Price tier: 6 - Upper mid-range. Price segment: 6/10. Operators (2): ANEX, R-Express"
Wyndham Danang Golden Bay,"Wyndham Danang Golden Bay Hotel, 01, Đường Lê Văn Duyệt, Phường Sơn Trà, Thành phố Đà Nẵng, 50207, Việt Nam",16.0980621,108.2243797,Da Nang,5 - Mid-range,5,#C0CA33,2,"ANEX, Pegas",5,"Stars: 5. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (2): ANEX, Pegas"
Ancient House Resort Hoi An,"Ancient House Resort, Hoi An, Vietnam",15.8802989,108.3428569,Hoi An,5 - Mid-range,5,#C0CA33,1,FUN&SUN,4,Stars: 4. Price tier: 5 - Mid-range. Price segment: 5/10. Operators (1): FUN&SUN
